Corpus,File,Name,Verb,Age,Sent,Syntactic Object,Event or Object,Syntactic Object,Event or Object,Convergence,Comments,Comments
Brown,adam51.xml,['Adam'],give|gives|given|gived|giving|gave,['P4Y7M29D'],you should give us out,us,pronoun,us,pronoun,pronoun,,
Brown,adam51.xml,['Adam'],give|gives|given|gived|giving|gave,['P4Y7M29D'],I don't holler when someone gives me a shot,shot,event,shot,event,event,?,?
Brown,adam51.xml,['Adam'],give|gives|given|gived|giving|gave,['P4Y7M29D'],don't give Diandros no dinner and leave him down here okay,dinner,object,dinner,object,object,,
Brown,adam51.xml,['Adam'],give|gives|given|gived|giving|gave,['P4Y7M29D'],when Ursula goes home don't give him no dinner if he's,dinner,object,dinner,object,object,,
Brown,adam51.xml,['Adam'],give|gives|given|gived|giving|gave,['P4Y7M29D'],he thinks I'm giving him medicine doesn't he,medicine,object,medicine,object,object,,
Brown,adam51.xml,['Adam'],give|gives|given|gived|giving|gave,['P4Y7M29D'],I'm gonna give dese these to people all over de the country,these,pronoun,these,pronoun,pronoun,,
Brown,adam52.xml,['Adam'],give|gives|given|gived|giving|gave,['P4Y9M2D'],you have_to give your hair medicine,medicine,object,medicine,object,object,?,
Brown,adam52.xml,['Adam'],give|gives|given|gived|giving|gave,['P4Y9M2D'],can you give me some piece of paper,paper,object,piece,object,object,,
Brown,adam52.xml,['Adam'],give|gives|given|gived|giving|gave,['P4Y9M2D'],you want to give me some yellow paper for de the other children to make some,paper,object,paper,object,object,,
Brown,adam52.xml,['Adam'],give|gives|given|gived|giving|gave,['P4Y9M2D'],can I give dis this toy to de the fish and fish and fish and fish,toy,object,toy,object,object,,
Brown,adam53.xml,['Adam'],give|gives|given|gived|giving|gave,['P4Y10M2D'],now give me all the tops I need,tops,object,top,object,object,,
Brown,adam53.xml,['Adam'],give|gives|given|gived|giving|gave,['P4Y10M2D'],say you give up,,,,,0,,?
Brown,adam54.xml,['Adam'],give|gives|given|gived|giving|gave,['P4Y10M23D'],Paul give her the bean,bean,object,bean,object,object,,
Brown,adam54.xml,['Adam'],give|gives|given|gived|giving|gave,['P4Y10M23D'],oh Mommy you better not give my robe back to school,robe,object,robe,object,object,,
Brown,adam54.xml,['Adam'],give|gives|given|gived|giving|gave,['P4Y10M23D'],why you give Diandros all the stuff we using,stuff,object,stuff,object,object,,
Brown,adam54.xml,['Adam'],give|gives|given|gived|giving|gave,['P4Y10M23D'],alright I'll give you some,some,pronoun,some,pronoun,pronoun,,
Brown,adam54.xml,['Adam'],give|gives|given|gived|giving|gave,['P4Y10M23D'],I give up,,,,,0,,?
Brown,adam55.xml,['Adam'],give|gives|given|gived|giving|gave,['P5Y2M12D'],now give me that bracelet,bracelet,object,bracelet,object,object,,
Brown,adam55.xml,['Adam'],give|gives|given|gived|giving|gave,['P5Y2M12D'],I better give Mommy a pen so she can make,pen,object,pen,object,object,,
Brown,adam55.xml,['Adam'],give|gives|given|gived|giving|gave,['P5Y2M12D'],I'd give them all a piece,piece,object,piece,object,object,,
Brown,adam55.xml,['Adam'],give|gives|given|gived|giving|gave,['P5Y2M12D'],if you could give me two pieces and if you have some glue,pieces,object,piece,object,object,,
Brown,adam55.xml,['Adam'],give|gives|given|gived|giving|gave,['P5Y2M12D'],I give him two each day,two,pronoun,two,pronoun,pronoun,?,
Brown,adam55.xml,['Adam'],give|gives|given|gived|giving|gave,['P5Y2M12D'],everything you give him,,,,,0,?,?
Brown,adam55.xml,['Adam'],give|gives|given|gived|giving|gave,['P5Y2M12D'],how  giving it to me,,,,,0,,
Brown,adam55.xml,['Adam'],give|gives|given|gived|giving|gave,['P5Y2M12D'],and the one that misses I'm gonna go and I'm gonna give it a hug and it's gonna be mine okay,,,,,0,,
Brown,adam55.xml,['Adam'],give|gives|given|gived|giving|gave,['P5Y2M12D'],and then she give it to me,,,,,0,,
