Corpus,File,Name,Verb,Age,Sent,Syntatic Object,Event or Object,Syntatic Object,Event or Object,Convergence,Comments,Comments,,,,,,,,,,,,,
Brown,adam15.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y10M2D'],how do you know,you,pronoun,you,pronoun,pronoun,?,,,,,,,,,,,,,,
Brown,adam15.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y10M2D'],you do it,,,,,0,,,,,,,,,,,,,,,
Brown,adam15.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y10M2D'],you do it,,,,,0,,,,,,,,,,,,,,,
Brown,adam15.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y10M2D'],you do it too,,,,,0,,,,,,,,,,,,,,,
Brown,adam15.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y10M2D'],you do it,,,,,0,,,,,,,,,,,,,,,
Brown,adam15.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y10M2D'],I can't do it,,,,,0,,,,,,,,,,,,,,,
Brown,adam15.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y10M2D'],I can't do it,,,,,0,,,,,,,,,,,,,,,
Brown,adam15.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y10M2D'],you do it,,,,,0,,,,,,,,,,,,,,,
Brown,adam15.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y10M2D'],what d you doing Mommy,,,,,0,,,,,,,,,,,,,,,
Brown,adam15.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y10M2D'],le me do it,,,,,0,,,,,,,,,,,,,,,
Brown,adam16.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y10M16D'],do do want do want for me,,,,,0,,,,,,,,,,,,,,,
Brown,adam16.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y10M16D'],I did see it,,,,,0,,,,,,,,,,,,,,,
Brown,adam16.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y10M16D'],do want some do want some Urs,,,,,0,,,,,,,,,,,,,,,
Brown,adam16.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y10M16D'],doggie do want play,,,,,0,,,,,,,,,,,,,,,
Brown,adam16.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y10M16D'],something do want mix mixit dirt too,,,,,0,,,,,,,,,,,,,,,
Brown,adam16.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y10M16D'],what you doing Mommy,,,,,0,,,,,,,,,,,,,,,
Brown,adam16.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y10M16D'],put some do do do,,,,,0,,,,,,,,,,,,,,,
Brown,adam16.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y10M16D'],okay do want go home,,,,,0,,,,,,,,,,,,,,,
Brown,adam16.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y10M16D'],don't want do it,,,,,0,,,,,,,,,,,,,,,
Brown,adam17.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y10M30D'],why didn't me,me,pronoun,me,pronoun,pronoun,?,?,,,,,,,,,,,,,
Brown,adam17.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y10M30D'],how do you know,you,pronoun,you,pronoun,pronoun,?,,,,,,,,,,,,,,
Brown,adam17.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y10M30D'],how do you know,you,pronoun,you,pronoun,pronoun,?,,,,,,,,,,,,,,
Brown,adam17.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y10M30D'],dat's that's right how do you know,you,pronoun,you,pronoun,pronoun,?,,,,,,,,,,,,,,
Brown,adam17.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y10M30D'],yes how do you know,you,pronoun,you,pronoun,pronoun,?,,,,,,,,,,,,,,
Brown,adam17.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y10M30D'],you do it,,,,,0,,,,,,,,,,,,,,,
Brown,adam18.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y11M13D'],le me do dat that,that,pronoun,that,pronoun,pronoun,?,,,,,,,,,,,,,,
Brown,adam18.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y11M13D'],how do you know,you,pronoun,you,pronoun,pronoun,?,,,,,,,,,,,,,,
