Corpus,File,Name,Verb,Age,Sent,Syntactic Object,Event or Object,Syntactic Object,Event or Object,Convergence,Comments,Comments,
Brown,adam22.xml,['Adam'],get|gets|got|gotten|getting,['P3Y1M9D'],a bik got out,,,bik(e?),object,!!!,?,,
Brown,adam22.xml,['Adam'],get|gets|got|gotten|getting,['P3Y1M9D'],we I got a accident,accident,event,accident,event,event,,,
Brown,adam22.xml,['Adam'],get|gets|got|gotten|getting,['P3Y1M9D'],I got caught in,caught,event,caught,event,event,,,
Brown,adam22.xml,['Adam'],get|gets|got|gotten|getting,['P3Y1M9D'],I got stuck with the knife,stuck,event,stuck,event,event,,,
Brown,adam22.xml,['Adam'],get|gets|got|gotten|getting,['P3Y1M9D'],I got clutch,clutch,object,clutch,object,object,,,
Brown,adam22.xml,['Adam'],get|gets|got|gotten|getting,['P3Y1M9D'],I got clutch,clutch,object,clutch,object,object,,,
Brown,adam22.xml,['Adam'],get|gets|got|gotten|getting,['P3Y1M9D'],dat that got a driver,driver,object,driver,object,object,,,
Brown,adam22.xml,['Adam'],get|gets|got|gotten|getting,['P3Y1M9D'],dat that got a driver,driver,object,driver,object,object,,,
Brown,adam22.xml,['Adam'],get|gets|got|gotten|getting,['P3Y1M9D'],I got my hands dry,hand,object,hands,object,object,,,
Brown,adam22.xml,['Adam'],get|gets|got|gotten|getting,['P3Y1M9D'],dat that one got a hat,hat,object,hat,object,object,,,
Brown,adam22.xml,['Adam'],get|gets|got|gotten|getting,['P3Y1M9D'],no I don't have got a headache hunm,headache,object,headache,object,object,?,,
Brown,adam22.xml,['Adam'],get|gets|got|gotten|getting,['P3Y1M9D'],I going get a needle,needle,object,needle,object,object,,,
Brown,adam22.xml,['Adam'],get|gets|got|gotten|getting,['P3Y1M9D'],I got a needle,needle,object,needle,object,object,,,
